[2026-08-15T15:58:05.336666-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-08-15T15:58:21.565055-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-08-15T15:58:21.570764-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 261, codigo: 0 [] []
[2026-08-15T15:58:21.574916-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 261, codigo: 0 [] []
[2026-08-15T15:58:21.576817-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 261, codigo: 0 [] []
[2026-08-15T15:58:21.578547-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 261, codigo: 0 [] []
[2026-08-15T15:58:21.580860-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 261, codigo: 0 [] []
[2026-08-15T15:58:21.582551-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 261, codigo: 0 [] []
[2026-08-15T15:58:21.584702-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 261, codigo: 0 [] []
[2026-08-15T15:58:21.586760-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 261, codigo: 0 [] []
[2026-08-15T15:58:21.588176-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 261, codigo: 0 [] []
[2026-08-15T15:58:32.421436-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'lfmcontr_sistema.tb_menus' doesn't exist, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S02 [] []
[2026-08-15T15:59:16.670816-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'lfmcontr_sistema.tb_menu' doesn't exist, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S02 [] []
[2026-08-15T15:59:16.748155-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'lfmcontr_sistema.tb_menu' doesn't exist, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S02 [] []
[2026-08-15T15:59:16.843698-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'lfmcontr_sistema.tb_menu' doesn't exist, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S02 [] []
[2026-08-15T16:00:18.953440-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'menu_padre_id' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-15T16:00:19.005255-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'modulo_id' in 'WHERE', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-15T16:01:18.460967-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'prov.cRazonSocial' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-15T16:01:18.535085-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'prov.cRazonSocial' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-15T16:03:16.445365-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'lfmcontr_sistema.cat_unidadesmedida' doesn't exist, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S02 [] []
